Country,Goal,Window,Model Type,Model,params,Error (MSE),Error (R2),Prediction Year,Prediction,Actual Value,Prediction Error
Peru,goal11,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b034357b0>,"Intercept   -625.20
year           0.34
dtype: float64",0.5703577124629738,0.8923497032768559,2021,65.09047619047453,64.0,1.0904761904745328
Peru,goal12,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b034369b0>,"Intercept   316.87
year         -0.11
dtype: float64",0.20945545682387787,0.7118181818181819,2021,88.51904761904737,89.0,-0.4809523809526297
Peru,goal13,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b03437490>,"Intercept   340.28
year         -0.12
dtype: float64",0.22811574390521788,0.7258488499452351,2021,93.56190476190349,94.0,-0.4380952380965084
Peru,goal14,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0344e8c0>,"Intercept   -959.95
year           0.51
dtype: float64",1.060651629072682,0.9099574468085105,2021,79.41904761904493,79.0,0.4190476190449317
Peru,goal15,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0344c850>,"Intercept   -281.08
year           0.17
dtype: float64",0.4039188881294123,0.7349282296650732,2021,54.87619047618915,55.0,-0.12380952381084853
Peru,goal16,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0344c5e0>,"Intercept   -628.78
year           0.34
dtype: float64",1.0222829801777176,0.8211004784688994,2021,58.88571428571311,57.0,1.8857142857131066
Peru,goal17,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0344f910>,"Intercept   -506.97
year           0.28
dtype: float64",0.6363180678970092,0.8361994134897376,2021,65.20952380952286,68.0,-2.7904761904771362
Philippines,goal1,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b034691e0>,"Intercept   -1956.48
year            1.01
dtype: float64",4.584757347915203,0.8995432080275582,2021,77.64285714285666,75.0,2.6428571428566556
Philippines,goal2,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0346a1a0>,"Intercept   -682.15
year           0.37
dtype: float64",0.61847801321485,0.8997673731629874,2021,65.88095238095218,65.0,0.8809523809521806
Philippines,goal3,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b03469ea0>,"Intercept   -752.98
year           0.40
dtype: float64",0.4739120528594394,0.9327078615334817,2021,60.66666666666845,58.0,2.6666666666684478
Philippines,goal4,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0346aaa0>,"Intercept   -379.05
year           0.23
dtype: float64",2.9854636591478605,0.41493123772102325,2021,82.89523809523729,76.0,6.895238095237289
Philippines,goal5,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b0348d420>,"Intercept   -1309.57
year            0.68
dtype: float64",1.654431533378873,0.9187046574115554,2021,63.138095238095275,62.0,1.138095238095275
