Goals
Goal 1 - No poverty
Goal 2 - Zero hunger
Goal 3 - Good health and well being
Goal 4 - Quality education
Goal 5 - Gender Equality
Goal 6 - Clean water and sanitation
Goal 7 - Affordable clean energy
Goal 8 - Efficient work and economic growth
"Goal 9 - Industry, innovation and infrastructure"
Goal 10 - Reduced inequalities
Goal 11 - Sustainable cities and communities
Goal 12 - Responsible consumption and production
Goal 13 - Climate action
Goal 14 - Life below water
Goal 15 - Life on land
"Goal 16 - Peace, justice and strong institutions"
Goal 17 - Partnerships for the goals
