,rmse,rmse,rmse,rmse,rmse,rmse,rmse,rmse,mape,mape,mape,mape,mape,mape,mape,mape,r_squared,r_squared,r_squared,r_squared,r_squared,r_squared,r_squared,r_squared
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
window,,,,,,,,,,,,,,,,,,,,,,,,
5,11060.0,8.600767273026124,8.729937415742453,0.0,3.3893612267493336,6.133599163804652,10.700871224004974,114.9105024418072,11060.0,0.13184626817334577,0.21665931310653375,0.0,0.03782449399813712,0.0765379863380677,0.1490987709490334,4.096957482993195,11060.0,0.638345069614692,0.19941488103773153,0.0212657779444639,0.49375897755788123,0.6437459767896343,0.7914375553801348,1.0
8,11060.0,6.695037194088263,7.194841844232223,0.0,2.431780880422551,4.637471170224801,8.271433190426793,99.21377801334312,11060.0,0.10901500970906394,0.19017579057909637,0.0,0.028813872118071224,0.0592509226999382,0.12244755450091338,4.255736446093573,11060.0,0.5926979104262089,0.2369266625441576,0.0030537375543497,0.4130225964978627,0.6002813284265033,0.7878326517772783,1.0
11,11060.0,5.457702246021382,6.211853020712999,0.0,1.856847119530212,3.5932272878887135,6.69852077204146,99.64637381284687,11060.0,0.09325489491018375,0.1739610910617263,0.0,0.02313797797201195,0.04837788738345575,0.10104051978443172,4.095042388167393,11060.0,0.5770057386877215,0.2689172353972716,0.0006334344137077,0.356989856119013,0.5927649453866505,0.8141164338716154,1.0
14,11060.0,4.551141251747815,5.505630931469345,0.0,1.4634169281407106,2.9401152398246957,5.5625950650310285,95.15233770691292,11060.0,0.08084323270122011,0.1586756140469523,0.0,0.018414092011021975,0.0404068159881986,0.0869266976229015,3.9738336298621983,11060.0,0.5692991938340806,0.3011672462383232,0.0002246232471871,0.2913623061045985,0.6175304428621884,0.8399999999999992,1.0
17,11060.0,3.8478602105988813,4.856419216051255,0.0,1.1386268011595537,2.4229605965498537,4.754443675398882,86.78952350491562,11060.0,0.07013073609715191,0.14159109891439547,0.0,0.01485034462140215,0.03482776811857225,0.07438167988215932,3.573844343292884,11060.0,0.5681734783520177,0.32314854253041375,2.374380853042979e-05,0.2750858076227912,0.6411764854393074,0.8589104553493161,1.0
