country,goal,window,rmse,mape,r_squared,model
Afghanistan,goal1,5,13.971578947368135,0.19802926146222344,0.7866154108055533,Linear
Afghanistan,goal1,10,42.337460317459445,0.38104539516955543,0.6573270884378706,Linear
Afghanistan,goal1,15,127.07018392542344,0.7948800750473689,0.6449954882326797,Linear
Afghanistan,goal1,20,364.3730263157905,1.9235011209565542,0.6505998478816675,Linear
Afghanistan,goal11,5,2.080526315789426,0.03422399581842277,0.23931992397381274,Linear
Afghanistan,goal11,10,1.095238095238095,0.026685300382779366,0.15636623658270515,Linear
Afghanistan,goal11,15,1.1526429831191987,0.026283492072474823,0.21221164588619784,Linear
Afghanistan,goal11,20,0.7794113573407159,0.017968389110030108,0.31537821132774063,Linear
Afghanistan,goal12,5,0.3878947368421177,0.004811410876014327,0.6429824561403391,Linear
Afghanistan,goal12,10,0.5415873015872996,0.006323965943226821,0.3617837436535865,Linear
Afghanistan,goal12,15,0.4917409926933574,0.00702856678733858,0.2535705691955649,Linear
Afghanistan,goal12,20,0.9102354570636981,0.009044465604801356,0.1805452292757726,Linear
Afghanistan,goal13,5,0.9663157894736504,0.006767934446505744,0.6281217750257978,Linear
Afghanistan,goal13,10,1.0009523809523808,0.006852170882783102,0.2242686973779436,Linear
Afghanistan,goal13,15,0.2568304358780528,0.004104537437870756,0.0637638617090695,Linear
Afghanistan,goal13,20,0.04656509695291099,0.0017809675704412837,0.04246727930938374,Linear
Afghanistan,goal15,5,11.012631578948179,0.027415394045429965,0.8213645397751541,Linear
Afghanistan,goal15,10,18.42317460317415,0.03821903037729427,0.6467996105751181,Linear
Afghanistan,goal15,15,44.053373645754654,0.0723764359106816,0.6455156467783773,Linear
Afghanistan,goal15,20,115.11929362880863,0.12688035648561954,0.5972042049616199,Linear
Afghanistan,goal16,5,2.3905263157895615,0.02442531216921239,0.689961013645224,Linear
Afghanistan,goal16,10,4.9488888888888045,0.039814818055106956,0.5086589884906958,Linear
Afghanistan,goal16,15,9.944459561602415,0.061358846058116,0.6019358054475453,Linear
Afghanistan,goal16,20,20.396495844875606,0.10036702528679511,0.5974196308021382,Linear
Afghanistan,goal17,5,2.3357894736841764,0.033245068427937924,0.585110124617602,Linear
Afghanistan,goal17,10,5.756190476190353,0.04984107174102589,0.4020427261597658,Linear
Afghanistan,goal17,15,10.914104308390028,0.06889735224891964,0.3470835861134016,Linear
Afghanistan,goal17,20,13.198767313019257,0.07839657282741673,0.3432064040328851,Linear
Afghanistan,goal2,5,4.242105263157808,0.04381948378401301,0.495635882854911,Linear
Afghanistan,goal2,10,5.414285714286029,0.05035959583135585,0.38016110950839893,Linear
Afghanistan,goal2,15,8.701889644746442,0.05919549208880151,0.35390520277072823,Linear
Afghanistan,goal2,20,12.273234072021356,0.09006232686980328,0.4827466783013731,Linear
Afghanistan,goal3,5,4.056315789473814,0.052611285767293965,0.628635257490163,Linear
Afghanistan,goal3,10,3.699365079364823,0.04863765485684025,0.8140499852996427,Linear
Afghanistan,goal3,15,3.8966490299822536,0.046330449430353755,0.9022662013860371,Linear
Afghanistan,goal3,20,10.43653739612196,0.08501507146243974,0.9428162997312112,Linear
Afghanistan,goal4,5,75.35157894736716,0.14886769213002607,0.8581055179812064,Linear
Afghanistan,goal4,10,198.1120634920622,0.2974851856620288,0.7903348611453561,Linear
Afghanistan,goal4,15,315.0266263542372,0.46559184038377477,0.6086616905005542,Linear
Afghanistan,goal4,20,57.15563711911689,0.17612519671271626,0.644311941842984,Linear
Afghanistan,goal5,5,11.111052631578492,0.0733209031816819,0.874527559730315,Linear
Afghanistan,goal5,10,13.663809523809311,0.11326065231496839,0.7672100058367238,Linear
Afghanistan,goal5,15,19.27038548752794,0.17235907539093498,0.5155869761719925,Linear
Afghanistan,goal5,20,34.971114958449235,0.2667426745466696,0.5095055672765473,Linear
Afghanistan,goal6,5,7.506315789473346,0.08004782095144039,0.7269534593918209,Linear
Afghanistan,goal6,10,1.6971428571428753,0.0274867600836626,0.9053279326912458,Linear
Afghanistan,goal6,15,4.011640211640759,0.037377836256559854,0.9546244514325442,Linear
Afghanistan,goal6,20,6.389459833794396,0.04375019481476593,0.9662999500165212,Linear
Afghanistan,goal7,5,25.672631578947833,0.15676100276526023,0.6206418187673579,Linear
Afghanistan,goal7,10,42.26730158730219,0.19904972224125125,0.47712001139944604,Linear
Afghanistan,goal7,15,33.131932476694814,0.13887163451745,0.34352770233442187,Linear
Afghanistan,goal7,20,6.772008310249504,0.059238185553975885,0.41826996660402743,Linear
Afghanistan,goal8,5,1.1757894736841745,0.014628492217950295,0.7411774628879898,Linear
Afghanistan,goal8,10,2.6876190476190867,0.025041581209258607,0.6425697110678622,Linear
Afghanistan,goal8,15,4.0932123960695845,0.037641543560782406,0.41115677321040356,Linear
Afghanistan,goal8,20,6.312894736842017,0.05233644684033983,0.4690450498779213,Linear
Afghanistan,goal9,5,2.558947368421098,0.09074142575690888,0.7173001949317733,Linear
Afghanistan,goal9,10,2.7765079365079117,0.11721870566408366,0.7399938023075779,Linear
Afghanistan,goal9,15,3.9347644242883053,0.11511897688368213,0.8251854652868903,Linear
Afghanistan,goal9,20,9.516855955678873,0.13834215803546315,0.8547211308724393,Linear
Albania,goal1,5,2.7978947368420437,0.012861566764554973,0.613250337054731,Linear
Albania,goal1,10,4.870158730158637,0.01957532380220631,0.3958658552082173,Linear
Albania,goal1,15,0.9903149407911361,0.00903664867331085,0.2622769408792195,Linear
Albania,goal1,20,0.3425277008309851,0.0058883681064129025,0.563881083646669,Linear
Albania,goal10,5,44.083157894735855,0.04573115935083844,0.6214258434461734,Linear
Albania,goal10,10,58.96825396825427,0.06499384020686168,0.41316245064906293,Linear
Albania,goal10,15,45.68265054169805,0.0747490325036936,0.048465516474520604,Linear
Albania,goal10,20,17.40491689750688,0.04453661327231114,0.009716232951610615,Linear
Albania,goal11,5,0.735789473684215,0.007551096432279948,0.5140293916609675,Linear
Albania,goal11,10,0.7006349206348865,0.0071751296266858305,0.7087148050529956,Linear
Albania,goal11,15,0.20789115646257794,0.004474975519790205,0.8355738648520008,Linear
Albania,goal11,20,0.20200831024930707,0.004376108811354416,0.9112612880593922,Linear
Albania,goal12,5,0.44736842105265484,0.007064857995904092,0.43931945247734655,Linear
Albania,goal12,10,0.40444444444444644,0.007126439026931266,0.22336844715508225,Linear
Albania,goal12,15,0.5744923154447172,0.00891835777911743,0.286862282221526,Linear
Albania,goal12,20,0.5301315789473557,0.007976765489673392,0.44224047192607835,Linear
Albania,goal13,5,0.6942105263157425,0.007597480875127041,0.4705955820103066,Linear
Albania,goal13,10,0.7428571428571458,0.007318376884990118,0.4202057467652335,Linear
Albania,goal13,15,0.8273116654069002,0.00890129271081655,0.3721199550910466,Linear
Albania,goal13,20,0.9906440443213345,0.007383040935672584,0.07790224542545246,Linear
Albania,goal14,5,4.510526315789531,0.038500057385430594,0.5458270329995862,Linear
Albania,goal14,10,6.6787301587299615,0.04920091832433603,0.6071079075662669,Linear
Albania,goal14,15,3.900750818846222,0.03777565765204946,0.7832481703943679,Linear
Albania,goal14,20,1.6927562326868348,0.022242749731470085,0.8748351107824655,Linear
Albania,goal15,5,3.8463157894737767,0.015115876621784742,0.8138764530010437,Linear
Albania,goal15,10,7.150158730158961,0.02695942284214105,0.7052766090568835,Linear
Albania,goal15,15,12.747593852355038,0.04249362918184422,0.7610607130672137,Linear
Albania,goal15,20,24.77488919667566,0.06009790123265812,0.8260898654690453,Linear
Albania,goal16,5,3.2700000000001377,0.019779712930446215,0.5393629299117734,Linear
Albania,goal16,10,3.5146031746031277,0.021776941284998592,0.42491299226532336,Linear
Albania,goal16,15,1.660821365583231,0.018264090122768757,0.5568911436189374,Linear
Albania,goal16,20,1.7307617728532225,0.018966557871481455,0.6830446196484283,Linear
Albania,goal17,5,0.8836842105262569,0.013048754305917553,0.4789301886196276,Linear
Albania,goal17,10,2.714920634920613,0.02206758062417788,0.4194035635975156,Linear
Albania,goal17,15,5.286641471403367,0.030582283734885505,0.3592454262836616,Linear
Albania,goal17,20,5.496828254847618,0.031230650154798624,0.44231924427626645,Linear
Albania,goal2,5,10.635789473684415,0.03734643539040919,0.6568971991551498,Linear
Albania,goal2,10,13.229206349206448,0.05290792636929637,0.5715250092460332,Linear
Albania,goal2,15,16.288384983623274,0.05416714194553711,0.6496999371900617,Linear
Albania,goal2,20,6.784383656509223,0.03627495462794761,0.7093638589027598,Linear
Albania,goal3,5,0.7547368421052434,0.008436506365350432,0.6951050561925216,Linear
Albania,goal3,10,1.2746031746032127,0.012405140304339386,0.8302834227851006,Linear
