country,goal,window,rmse,mape,r_squared,model
Afghanistan,goal1,5,786.4321995464896,2.300905833597812,0.7904469304266276,Ridge_Auto
Afghanistan,goal1,8,909.0872220037785,2.6240447585266855,0.8042073229202316,Ridge_Auto
Afghanistan,goal1,11,961.1500918057485,2.7943308700804907,0.8725581042033108,Ridge_Auto
Afghanistan,goal1,14,865.1487681747363,2.6841662921671894,0.9100661201815692,Ridge_Auto
Afghanistan,goal1,17,696.4143551558948,2.4359030760208342,0.9116065328892544,Ridge_Auto
Afghanistan,goal11,5,20.552996436669957,0.09128124265579238,0.23050763279245967,Ridge_Auto
Afghanistan,goal11,8,3.8447768559295388,0.04477548220714309,0.18508186298752455,Ridge_Auto
Afghanistan,goal11,11,1.6139702476969622,0.028996677582317536,0.2298610967156849,Ridge_Auto
Afghanistan,goal11,14,1.4565543096855416,0.02841287772418899,0.3381328825239983,Ridge_Auto
Afghanistan,goal11,17,0.8358188337315469,0.023154142161820407,0.4082506199046798,Ridge_Auto
Afghanistan,goal12,5,10.223880790411437,0.029032849982098114,0.5499406111651037,Ridge_Auto
Afghanistan,goal12,8,5.915075298836101,0.019189059714795013,0.32719275366892214,Ridge_Auto
Afghanistan,goal12,11,4.503813144897032,0.019769215884734417,0.3708932876470522,Ridge_Auto
Afghanistan,goal12,14,3.5240344242498356,0.01820664874906563,0.41092174688578786,Ridge_Auto
Afghanistan,goal12,17,2.0468785502218334,0.013564004645857677,0.3497337984353863,Ridge_Auto
Afghanistan,goal13,5,15.3200712666018,0.03178038892324603,0.4943469451272567,Ridge_Auto
Afghanistan,goal13,8,4.277708988675652,0.01707421811699883,0.197045491993591,Ridge_Auto
Afghanistan,goal13,11,2.562694646196396,0.014324341730758961,0.08072973003584645,Ridge_Auto
Afghanistan,goal13,14,1.2933395567945747,0.009803232829548673,0.0611799290592641,Ridge_Auto
Afghanistan,goal13,17,0.4119993662557522,0.006348312849860693,0.009817992953966626,Ridge_Auto
Afghanistan,goal15,5,302.07058632977026,0.2135297627542527,0.8409054097829552,Ridge_Auto
Afghanistan,goal15,8,295.9392662787039,0.21402566061389589,0.6261080274787181,Ridge_Auto
Afghanistan,goal15,11,286.0862383267269,0.2110324119867514,0.6211267414619464,Ridge_Auto
Afghanistan,goal15,14,283.39103650318617,0.21010571759067997,0.6385835796027001,Ridge_Auto
Afghanistan,goal15,17,251.2734264055185,0.19712864187196405,0.4714632576392722,Ridge_Auto
Afghanistan,goal16,5,47.97267897635181,0.12442327721709567,0.7291732011524679,Ridge_Auto
Afghanistan,goal16,8,39.76489344133318,0.12443650906167186,0.7076786486493196,Ridge_Auto
Afghanistan,goal16,11,38.11519683283338,0.12490363759155554,0.6293982406911933,Ridge_Auto
Afghanistan,goal16,14,35.040197738432944,0.12258455899212103,0.7282396176466321,Ridge_Auto
Afghanistan,goal16,17,34.42070333198988,0.12384922976668225,0.7831702449536334,Ridge_Auto
Afghanistan,goal17,5,77.1773113054745,0.180536731992854,0.4840941524615032,Ridge_Auto
Afghanistan,goal17,8,74.99867489776682,0.19371007125069423,0.24605015382603296,Ridge_Auto
Afghanistan,goal17,11,75.14558367081175,0.19864892706306078,0.23483079524800488,Ridge_Auto
Afghanistan,goal17,14,74.79319342568515,0.1997156888250121,0.27171173531148335,Ridge_Auto
Afghanistan,goal17,17,55.80460013905025,0.17338826553142533,0.04668028836889321,Ridge_Auto
Afghanistan,goal2,5,136.5447683835433,0.25140440386680935,0.5935613535299058,Ridge_Auto
Afghanistan,goal2,8,142.0397298678816,0.25683429496200294,0.6248634824984572,Ridge_Auto
Afghanistan,goal2,11,111.07197313901433,0.22852048106692013,0.5685878365911785,Ridge_Auto
Afghanistan,goal2,14,65.91953917433665,0.19106639130721345,0.6277603221826127,Ridge_Auto
Afghanistan,goal2,17,38.44830799668958,0.15338837815613532,0.6448012368129132,Ridge_Auto
Afghanistan,goal3,5,43.053773890509106,0.1510195209787053,0.6716966520743828,Ridge_Auto
Afghanistan,goal3,8,22.841544117647445,0.10260219845514083,0.7674076268449584,Ridge_Auto
Afghanistan,goal3,11,21.78487972694545,0.11641005214534314,0.8607136046669217,Ridge_Auto
Afghanistan,goal3,14,15.166539113683282,0.09720147859997502,0.9135287177426659,Ridge_Auto
Afghanistan,goal3,17,15.293545780137027,0.09805953181717571,0.9463122139873154,Ridge_Auto
Afghanistan,goal4,5,1329.6727243278522,0.9190908310168017,0.9391215275377823,Ridge_Auto
Afghanistan,goal4,8,1067.0992491742704,0.8124730932542159,0.8713425373443795,Ridge_Auto
Afghanistan,goal4,11,952.0828603009508,0.7384835342496096,0.7792643520238736,Ridge_Auto
Afghanistan,goal4,14,787.2369102983421,0.6487382534409111,0.6013838725433147,Ridge_Auto
Afghanistan,goal4,17,307.6532956096941,0.4101691029661133,0.3413323362945457,Ridge_Auto
Afghanistan,goal5,5,39.13493359248465,0.19264800379332406,0.9306307557036457,Ridge_Auto
Afghanistan,goal5,8,39.02339906417113,0.1911170578069663,0.8611947725127943,Ridge_Auto
Afghanistan,goal5,11,38.545950771105595,0.19039689998936749,0.7491030077189255,Ridge_Auto
Afghanistan,goal5,14,36.83062549956502,0.19047547836397663,0.5307746013740372,Ridge_Auto
Afghanistan,goal5,17,33.20625580077083,0.19139317230289749,0.4650794258818706,Ridge_Auto
Afghanistan,goal6,5,234.70970521541997,0.2380544522570946,0.6494557362025414,Ridge_Auto
Afghanistan,goal6,8,72.95741840987735,0.11983568108170047,0.8149758054270108,Ridge_Auto
Afghanistan,goal6,11,34.7909926348974,0.09356589916921214,0.8904083437814506,Ridge_Auto
Afghanistan,goal6,14,23.49120132430853,0.08176870706511455,0.9260401316458362,Ridge_Auto
Afghanistan,goal6,17,12.825608192053078,0.06766136597437948,0.937212656782527,Ridge_Auto
Afghanistan,goal7,5,819.1625072886324,0.5719731976874844,0.6485242578517195,Ridge_Auto
Afghanistan,goal7,8,550.7810935042454,0.5287727834786642,0.4921501237144041,Ridge_Auto
Afghanistan,goal7,11,359.4699155600341,0.4479911781382356,0.21944376451120834,Ridge_Auto
Afghanistan,goal7,14,157.44142846444893,0.3175002634213156,0.05824633332729538,Ridge_Auto
Afghanistan,goal7,17,53.68746029074167,0.1978802764172481,0.14129024887187186,Ridge_Auto
Afghanistan,goal8,5,4.732238419177182,0.042343509691201826,0.8322149721566631,Ridge_Auto
Afghanistan,goal8,8,4.237604789241897,0.040894397567911314,0.7855132641291775,Ridge_Auto
Afghanistan,goal8,11,3.9790893531904317,0.0400542019524165,0.6777741378486637,Ridge_Auto
Afghanistan,goal8,14,3.8238884344711987,0.03941340203955883,0.44494603165981916,Ridge_Auto
Afghanistan,goal8,17,3.7745238179501355,0.03870094527529812,0.2939595079237215,Ridge_Auto
Afghanistan,goal9,5,39.44935536119214,0.37578204008876304,0.723338012453665,Ridge_Auto
Afghanistan,goal9,8,30.22771842560557,0.2983902438588468,0.7495004889492418,Ridge_Auto
Afghanistan,goal9,11,20.49674344275521,0.24762910542194624,0.6553197349602439,Ridge_Auto
Afghanistan,goal9,14,17.627888437808213,0.23108432009167337,0.7391100263487834,Ridge_Auto
Afghanistan,goal9,17,16.094896734324603,0.21844089819473958,0.7628892911128426,Ridge_Auto
Albania,goal1,5,99.47455134434652,0.08228183543052307,0.5863092195868006,Ridge_Auto
Albania,goal1,8,63.349801824472664,0.06569819112217858,0.5036314445925845,Ridge_Auto
Albania,goal1,11,26.902798768003994,0.044126135302605625,0.3584398683407817,Ridge_Auto
Albania,goal1,14,4.933065345655951,0.01747613919874957,0.31860526231485936,Ridge_Auto
Albania,goal1,17,0.6616335276388199,0.006701730430683372,0.49120066661406686,Ridge_Auto
Albania,goal10,5,317.2178749595084,0.15711019093627795,0.6113247072927968,Ridge_Auto
Albania,goal10,8,169.03220332651748,0.12695074788808797,0.6186405218777837,Ridge_Auto
Albania,goal10,11,104.1644702002325,0.10248134005806622,0.5301999058448301,Ridge_Auto
Albania,goal10,14,56.213668274500215,0.06981301684162085,0.24220213710053287,Ridge_Auto
Albania,goal10,17,47.381293109032875,0.07358413132694926,0.016867029582351978,Ridge_Auto
Albania,goal11,5,4.011214771622973,0.019365293614892382,0.5089546022490532,Ridge_Auto
Albania,goal11,8,1.53747385184019,0.011986888427020819,0.626057451097437,Ridge_Auto
Albania,goal11,11,0.7276938652849053,0.008201345648583153,0.7194354876562356,Ridge_Auto
Albania,goal11,14,0.3934026904275136,0.005762301405966429,0.799408471653108,Ridge_Auto
Albania,goal11,17,0.16132643757627485,0.003945935235378312,0.8611218056056181,Ridge_Auto
Albania,goal12,5,15.382267573696423,0.033795143373805396,0.37782808919835875,Ridge_Auto
Albania,goal12,8,2.8350882746146207,0.0172322903269477,0.17037064572135657,Ridge_Auto
Albania,goal12,11,1.235378769970551,0.012700378549224345,0.1835888636693801,Ridge_Auto
Albania,goal12,14,0.9728559758968244,0.009887551156371922,0.23607085050541698,Ridge_Auto
Albania,goal12,17,0.47407793317394165,0.007301641586867415,0.33965575148753324,Ridge_Auto
Albania,goal13,5,34.68627146096542,0.043276270215045654,0.4859376523495601,Ridge_Auto
Albania,goal13,8,24.052892812205005,0.038607784372490246,0.48848287574129684,Ridge_Auto
Albania,goal13,11,11.139273381783141,0.02780794117898187,0.4207204606753872,Ridge_Auto
Albania,goal13,14,5.013519185259398,0.021097762721822715,0.22975363335616578,Ridge_Auto
Albania,goal13,17,3.3484124318811395,0.019598271345697187,0.2709788190552668,Ridge_Auto
Albania,goal14,5,42.62745707806887,0.11633230598361739,0.5040923383192109,Ridge_Auto
Albania,goal14,8,19.526794589493576,0.07691823638546351,0.624197783792149,Ridge_Auto
Albania,goal14,11,6.5666184554672995,0.04142716946918649,0.755307635699522,Ridge_Auto
Albania,goal14,14,4.182912778107521,0.03251889417421108,0.8154611080756333,Ridge_Auto
Albania,goal14,17,1.3434187593962617,0.020150799120137723,0.8390195754052057,Ridge_Auto
Albania,goal15,5,124.23484288953986,0.09528623203615953,0.7816662045819157,Ridge_Auto
Albania,goal15,8,109.76590869770509,0.10876801061033016,0.7794241885199081,Ridge_Auto
Albania,goal15,11,117.0814577611515,0.12473703847102754,0.8454857747742747,Ridge_Auto
Albania,goal15,14,103.60002325087491,0.11935132792309905,0.8980913856056593,Ridge_Auto
Albania,goal15,17,72.69600551923372,0.10010583894171063,0.9129891592029274,Ridge_Auto
Albania,goal16,5,17.906556527372633,0.05256272194389331,0.4655029592700008,Ridge_Auto
Albania,goal16,8,4.32673364265476,0.026083460192654097,0.5082352218098719,Ridge_Auto
Albania,goal16,11,3.7638859253360613,0.024352799927168534,0.6230807841631189,Ridge_Auto
Albania,goal16,14,2.7888688405302258,0.02088512788627993,0.6665431041991043,Ridge_Auto
Albania,goal16,17,1.8262729806867033,0.018984130793963983,0.6801601629057734,Ridge_Auto
Albania,goal17,5,38.21784904437969,0.0807334874248207,0.33415452348739877,Ridge_Auto
Albania,goal17,8,37.68486021547662,0.0861650852375431,0.23320313365987827,Ridge_Auto
Albania,goal17,11,38.74786085680951,0.08992622184405469,0.18975848634279657,Ridge_Auto
Albania,goal17,14,37.47842245318026,0.08898006099533295,0.17048959642973824,Ridge_Auto
Albania,goal17,17,27.31572128340246,0.07655160813147209,0.03220841147045761,Ridge_Auto
Albania,goal2,5,179.7628895367672,0.17954022988505763,0.6542403486176827,Ridge_Auto
Albania,goal2,8,92.25969133375291,0.1405679513184585,0.5214611815064136,Ridge_Auto
Albania,goal2,11,55.63497220953582,0.1228439410488088,0.5688980922133079,Ridge_Auto
Albania,goal2,14,56.05334413139619,0.12664635727249077,0.603962060355105,Ridge_Auto
Albania,goal2,17,65.16117922781002,0.1360559460351905,0.4618977992595619,Ridge_Auto
Albania,goal3,5,21.05308713961741,0.044815398977692364,0.7124357417832035,Ridge_Auto
Albania,goal3,8,14.418455095942232,0.03788085693497896,0.8261777069787377,Ridge_Auto
Albania,goal3,11,10.436483598913677,0.03430100089535526,0.8855691139120772,Ridge_Auto
Albania,goal3,14,7.888263188123766,0.030461396291197946,0.9141750403752512,Ridge_Auto
Albania,goal3,17,5.28286857089125,0.023848441360573895,0.9306886327658509,Ridge_Auto
Albania,goal4,5,71.04567541302312,0.06855180973970036,0.5917414488657664,Ridge_Auto
Albania,goal4,8,68.59081629443237,0.07859799960953015,0.7105350268073722,Ridge_Auto
Albania,goal4,11,69.19558085343944,0.08324134012271209,0.8028972146186526,Ridge_Auto
Albania,goal4,14,69.61857728398348,0.0860167976510149,0.8502089718251702,Ridge_Auto
Albania,goal4,17,56.18360071519527,0.07671306099551117,0.8755873665172521,Ridge_Auto
Albania,goal5,5,73.51044379656703,0.13335406137376613,0.7211225600261081,Ridge_Auto
Albania,goal5,8,35.90479690940553,0.08150547332070522,0.8145307582448048,Ridge_Auto
Albania,goal5,11,9.52715595859122,0.03534337688864604,0.8302985741579201,Ridge_Auto
Albania,goal5,14,3.779025264249341,0.02941978378548228,0.88268881814891,Ridge_Auto
Albania,goal5,17,4.726386640660149,0.03617006850779088,0.913172383888106,Ridge_Auto
Albania,goal6,5,7.2020472951084615,0.02986470939252877,0.7674927113702689,Ridge_Auto
Albania,goal6,8,4.781063424032663,0.02444206304531361,0.7644367497391271,Ridge_Auto
Albania,goal6,11,3.951894184045739,0.022294772564896537,0.849565010048382,Ridge_Auto
Albania,goal6,14,3.3228499428396163,0.02001897506925239,0.8796195948161363,Ridge_Auto
Albania,goal6,17,2.896527856418658,0.01939266085871354,0.8907660364547846,Ridge_Auto
Albania,goal7,5,67.71553611920898,0.0683358744941418,0.3602426942757459,Ridge_Auto
Albania,goal7,8,33.66532301824478,0.04580937172163788,0.5237053276212225,Ridge_Auto
Albania,goal7,11,6.115509193180616,0.0229929045965794,0.7026144534296266,Ridge_Auto
Albania,goal7,14,2.062105415284731,0.013853009396359634,0.7839857533898394,Ridge_Auto
Albania,goal7,17,1.9220551384124085,0.0128568019403634,0.8120560097859062,Ridge_Auto
Albania,goal8,5,19.304645286686238,0.055901915681787484,0.4663551016384083,Ridge_Auto
Albania,goal8,8,13.05243748033977,0.047783800409215565,0.48961229535843476,Ridge_Auto
Albania,goal8,11,7.693925202728124,0.03843643097230608,0.3863109887160533,Ridge_Auto
Albania,goal8,14,5.036998756681789,0.02995745983382033,0.14602549429551873,Ridge_Auto
